subject,4,8
sub-NDARGZ361JJ9_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.6302680872536114e-06,3.207254767431063e-06
sub-NDARAT680GJA_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.9226521744336067e-06,3.000108981296389e-06
sub-NDARAE301XTM_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.5375603232679437e-06,1.7111472969808665e-06
sub-NDARJA830BYV_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.1443612284985951e-06,7.4202605544359405e-06
sub-NDARHN212TT6_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.0521616412040382e-06,4.481826499723998e-06
sub-NDARBK106KRH_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.826061064690859e-06,2.3390085216199013e-06
sub-NDARBF851NH6_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,4.6607745470917365e-07,6.516126066283551e-07
sub-NDARFD552FRH_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,9.323692926990183e-07,1.0509866403765792e-06
sub-NDARAB458VK9_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.1571093273199245e-06,1.3010115701577865e-06
sub-NDARBE103DHM_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,6.582484068619843e-07,8.25884305197678e-07
sub-NDARBM433VER_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.367158087770704e-06,2.848079012711643e-06
sub-NDARAB348EWR_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.754526805749299e-06,3.786298537031149e-06
sub-NDARHT774ZK1_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.3392955674486893e-06,2.2783387500531547e-06
sub-NDARDV245WJG_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.440728774662561e-06,2.5082089637309386e-06
sub-NDARCR582GKJ_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.2042314301960526e-20,2.0741314795635297e-20
sub-NDARCR594JN0_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.7327540527345064e-07,3.544100670378924e-07
sub-NDARCH628LKW_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,6.343941273756338e-06,6.1629847980360085e-06
sub-NDARFL793LDE_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.639505848807236e-06,2.2248202458724168e-06
sub-NDARBM197EFF_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,8.335167952982723e-07,9.868537531103975e-07
sub-NDARGV436PFT_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.4123260916073458e-06,1.1493709532060185e-06
sub-NDARCG438NML_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.209211940656287e-06,1.1371044378694734e-06
sub-NDARAM848GTE_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.3626866465968219e-06,1.103012645569949e-06
sub-NDARDR804MFE_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.120683910469227e-06,3.850598031162171e-06
sub-NDARAH793FBF_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.6073267348422594e-06,3.620180427894932e-06
sub-NDARCU633GCZ_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,5.553990610088578e-07,5.722097916558622e-07
sub-NDARFD453NPR_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,4.676126826335316e-06,3.4910538799778254e-06
sub-NDARCJ011TTG_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,8.83233960665925e-06,1.0488498715443937e-05
sub-NDAREX589EXG_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.043430120523684e-06,2.9075533986191667e-06
sub-NDARDZ147ETZ_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.055564686496049e-06,2.198241055430667e-06
sub-NDARDV865ENP_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.105257350808715e-06,9.417815954955555e-07
sub-NDARFP512MEK_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.8076747519199579e-06,2.3856034755754798e-06
sub-NDARFU786BN4_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.011755622442828e-06,2.3813308818648e-06
sub-NDARFG943GVZ_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,5.02731271480876e-06,5.845809843075741e-06
sub-NDARAU708TL8_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.8703964766113221e-06,1.7463149316696145e-06
sub-NDARCD661GL0_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.0072712929638196e-06,2.409074240992847e-06
sub-NDARDZ425JVB_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,5.778025113936525e-06,6.764481659914302e-06
sub-NDAREK575JNM_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.0251707399654563e-06,3.007706553712889e-06
sub-NDARJF517HC8_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.9232246770549925e-06,1.9570523226168114e-06
sub-NDARFX455JFY_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,3.011463717357408e-06,3.177631563772252e-06
sub-NDARAX277ATU_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.4971141527016708e-06,1.2133749476730803e-06
sub-NDARDB224XUD_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.1624506606691529e-07,9.913343705895622e-08
